"Plot_pair","Plot_code","Fire_interval","Sample_year","Species","stems_ha","pres"
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2021,"PICO",2066.66666666667,1
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2021,"PIEN",33.3333333333333,1
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2021,"POTR",700,1
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2021,"PSME",0,0
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2021,"Total",2833.33333333334,1
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"ABLA",266.666666666667,1
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"PIAL",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"PICO",197433.333333333,1
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"PIEN",533.333333333333,1
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"POTR",33.3333333333333,1
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"PSME",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",2021,"Total",198266.666666667,1
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"ABLA",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"PIAL",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"PICO",1400,1
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"PIEN",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"POTR",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"PSME",0,0
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",2021,"Total",1400,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"ABLA",0,0
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"PIAL",0,0
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"PICO",9533.33333333333,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"PIEN",666.666666666667,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"POTR",100,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"PSME",33.3333333333333,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",2021,"Total",10333.3333333333,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"ABLA",0,0
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"PIAL",0,0
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"PICO",1066.66666666667,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"PIEN",33.3333333333333,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"POTR",166.666666666667,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"PSME",266.666666666667,1
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",2021,"Total",1533.33333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"ABLA",0,0
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"PIAL",0,0
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"PICO",14666.6666666667,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"PIEN",33.3333333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"POTR",133.333333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"PSME",233.333333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",2021,"Total",15066.6666666667,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"ABLA",0,0
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"PIAL",0,0
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"PICO",1200,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"PIEN",33.3333333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"POTR",33.3333333333333,1
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"PSME",0,0
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",2021,"Total",1266.66666666667,1
"Madison Junct","Madison Junct_8111","Long",2000,"ABLA",0,0
"Madison Junct","Madison Junct_8111","Long",2000,"PIAL",0,0
"Madison Junct","Madison Junct_8111","Long",2000,"PICO",49200,1
"Madison Junct","Madison Junct_8111","Long",2000,"PIEN",0,0
"Madison Junct","Madison Junct_8111","Long",2000,"POTR",0,0
"Madison Junct","Madison Junct_8111","Long",2000,"PSME",0,0
"Madison Junct","Madison Junct_8111","Long",2000,"Total",49200,1
"Madison Junct","Madison Junct_8110","Short",2000,"ABLA",0,0
"Madison Junct","Madison Junct_8110","Short",2000,"PIAL",0,0
"Madison Junct","Madison Junct_8110","Short",2000,"PICO",14825,1
"Madison Junct","Madison Junct_8110","Short",2000,"PIEN",0,0
"Madison Junct","Madison Junct_8110","Short",2000,"POTR",0,0
"Madison Junct","Madison Junct_8110","Short",2000,"PSME",0,0
"Madison Junct","Madison Junct_8110","Short",2000,"Total",14825,1
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"ABLA",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"PIAL",0,0
