"Plot_code","Fire_year_2","ann_def_mm_norm","summer_vpd_kpa_norm","anom_def_mm","anom_def_zscore","anom_summer_vpd_kpa","anom_summer_vpd_zscore"
"Hellroaring_Buffalo_3_2_short_0",2016,246.046666666667,0.924888888888889,-32.1466666666667,-0.419350455129196,0.044,0.279738733718313
"Hellroaring_Buffalo_3_2_long_1",2016,246.046666666667,0.924888888888889,-32.1466666666667,-0.419350455129196,0.044,0.279738733718313
"IronMtn_Derby_1_1_short_0",2006,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"IronMtn_Derby_1_1_long_1",2006,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"IronMtn_Derby_1_5_short_0",2006,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"IronMtn_Derby_1_5_long_2",2006,383.706666666667,1.10288888888889,2.89333333333332,0.028576489926541,0.0593333333333335,0.33289438081888
"WestYell_6290",1988,339.213333333333,1.21966666666667,13.32,0.154958791484177,-0.0607777777777778,-0.314537614736549
"WestYell_6291",1988,346.89,1.26422222222222,13.8766666666666,0.160894767996428,-0.060888888888889,-0.310877646980252
"Arrow_6300",1988,283.003333333333,0.976,15.2966666666667,0.196973189750351,-0.0404444444444444,-0.242782560211774
"Arrow_6301",1988,283.003333333333,0.976,15.2966666666667,0.196973189750351,-0.0404444444444444,-0.242782560211774
"Heart Lake N_7110",1988,308.623333333333,1.029,2.51000000000005,0.0298265644022474,-0.0690000000000001,-0.383918755928406
"Heart Lake N_7111",1988,269.403333333333,0.936,-2.67000000000002,-0.033590268473768,-0.0615555555555556,-0.380144759404588
"Factory Hill_7120",1988,280.083333333333,0.959444444444444,0.616666666666674,0.00777232774501716,-0.0627777777777777,-0.372909772550114
"Factory Hill_7121",1988,280.083333333333,0.959444444444444,0.616666666666674,0.00777232774501716,-0.0627777777777777,-0.372909772550114
"Gallatin_7170",1988,286.63,1.002,21.5366666666667,0.268754828010448,-0.0442222222222222,-0.259954670125304
"Gallatin_7171",1988,286.63,1.002,21.5366666666667,0.268754828010448,-0.0442222222222222,-0.259954670125304
"Forest Lake_7210",1988,300.54,1.03,1.06,0.0127690528887538,-0.0688888888888889,-0.38784076416511
"Forest Lake_7211",1988,300.54,1.03,1.06,0.0127690528887538,-0.0688888888888889,-0.38784076416511
"Charcoal_7260",1988,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
"Charcoal_7261",1988,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
"Cygnet_8030",1988,262.636666666667,0.931333333333333,6.46333333333337,0.0826418365346264,-0.0468888888888889,-0.292606584933581
"Cygnet_8031",1988,262.636666666667,0.931333333333333,6.46333333333337,0.0826418365346264,-0.0468888888888889,-0.292606584933581
"Madison Junct_8110",1988,294.866666666667,1.02888888888889,12.4,0.156961146514338,-0.0522222222222223,-0.29719671588518
"Madison Junct_8111",1988,294.866666666667,1.02888888888889,12.4,0.156961146514338,-0.0522222222222223,-0.29719671588518
"Astringent_8190",1994,283.433333333333,0.960777777777778,-70.9666666666667,-0.884412100177611,-0.121888888888889,-0.729697791536291
"Astringent_8191",1994,270.316666666667,0.938,-76.9166666666667,-0.964589439433157,-0.120222222222222,-0.735009057959441
"Charcoal Bay_998050",1988,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
"Charcoal Bay_998051",1988,292.223333333333,0.964222222222222,-0.256666666666661,-0.00320378864698219,-0.0664444444444444,-0.389163983596622
