"Plot_code","Fire_year_2","ann_def_mm_pf1","ann_def_mm_pf2","ann_def_mm_pf3","summer_vpd_kpa_pf3","spring_soilmoist_mm_pf3","max_temp_C_pf3","min_soilmoist_mm_pf3","grow_avg_temp_C_pf3","grow_prec_mm_pf3","ann_def_mm_norm","summer_vpd_kpa_norm","spring_soilmoist_mm_norm","max_temp_C_norm","min_soilmoist_mm_norm","grow_avg_temp_C_norm","grow_prec_mm_norm"
"Arrow_6301",1988,323.7,308.5,298.3,0.935555555555556,68.2,24.4566666666667,16.6333333333333,10.0843333333333,238.433333333333,283.003333333333,0.976,70.4144444444444,24.2923333333333,18.36,10.0596666666667,244.053333333333
"Heart Lake N_7110",1988,342.4,330.85,311.133333333333,0.96,76,24.8633333333333,17.1666666666667,10.5903333333333,223.033333333333,308.623333333333,1.029,80.2922222222222,25.0313333333333,18.9866666666667,10.6012666666667,223.236666666667
"Heart Lake N_7111",1988,313.7,292.8,266.733333333333,0.874444444444444,68.5444444444445,23.0866666666667,19.9666666666667,9.28633333333333,231.533333333333,269.403333333333,0.936,71.2644444444445,23.2306666666667,20.4066666666667,9.29293333333333,232.41
"Factory Hill_7120",1988,320.2,302.2,280.7,0.896666666666667,72.8333333333333,23.75,18.8666666666667,9.736,229.433333333333,280.083333333333,0.959444444444444,75.4244444444444,23.9386666666667,19.8633333333333,9.74306666666667,230.116666666667
"Factory Hill_7121",1988,320.2,302.2,280.7,0.896666666666667,72.8333333333333,23.75,18.8666666666667,9.736,229.433333333333,280.083333333333,0.959444444444444,75.4244444444444,23.9386666666667,19.8633333333333,9.74306666666667,230.116666666667
"Gallatin_7170",1988,331.5,315.25,308.166666666667,0.957777777777778,64.7,24.7833333333333,15.2666666666667,10.291,242.3,286.63,1.002,67.0122222222222,24.6113333333333,17.01,10.3254333333333,256.123333333333
"Gallatin_7171",1988,331.5,315.25,308.166666666667,0.957777777777778,64.7,24.7833333333333,15.2666666666667,10.291,242.3,286.63,1.002,67.0122222222222,24.6113333333333,17.01,10.3254333333333,256.123333333333
"Forest Lake_7210",1988,338.9,320.6,301.6,0.961111111111111,79.5,24.8266666666667,18.8333333333333,10.564,231.533333333333,300.54,1.03,83.0188888888889,24.9926666666667,20.1966666666667,10.5661,231.456666666667
"Forest Lake_7211",1988,338.9,320.6,301.6,0.961111111111111,79.5,24.8266666666667,18.8333333333333,10.564,231.533333333333,300.54,1.03,83.0188888888889,24.9926666666667,20.1966666666667,10.5661,231.456666666667
"Charcoal_7260",1988,328.6,312.75,291.966666666667,0.897777777777778,67.0111111111111,23.7433333333333,16.8,9.83833333333333,225.733333333333,292.223333333333,0.964222222222222,69.7122222222222,23.9553333333333,17.98,9.86193333333333,226.19
